state,race,sex,mean_LE
Washington DC,white,Female,80.92215526644445
Washington DC,white,Male,74.40097034155555
West Virginia,black,Female,73.23092111644445
West Virginia,black,Male,65.24189933044444
West Virginia,white,Female,77.31378487955556
West Virginia,white,Male,70.41640330311111
Wisconsin,black,Female,74.84331009777777
Wisconsin,black,Male,67.79069093088889
Wisconsin,white,Female,80.13770954644444
Wisconsin,white,Male,74.03558172177777
